Year,Month,Year_Month,Month_Name,Beer_Revenue,Beer_MoM_Growth,Beer_YoY_Growth,Beer_Market_Share,Seltzer_Revenue,Seltzer_MoM_Growth,Seltzer_YoY_Growth,Seltzer_Market_Share,Total_Revenue,Growth_Difference_MoM,Growth_Difference_YoY,Market_Share_Difference,Pivot_Point_MoM,Pivot_Point_YoY,Strong_Pivot,Beer_Growth_Trend,Seltzer_Growth_Trend,Growth_Diff_Trend,Seltzer_Share_Trend
2023,1,2023-01,January,570519.8900000015,0.0,0.0,99.23333830323413,4407.749999999994,0.0,0.0,0.7666616967658716,574927.6400000015,0.0,0.0,-98.46667660646827,False,False,False,8.20668729387213,19.208178910203205,11.001491616331075,0.8721211939551856
2023,2,2023-02,February,569954.6599999999,-0.09907279481555142,0.0,99.14929055996528,4890.260000000001,10.946854971357455,0.0,0.8507094400347144,574844.9199999999,11.045927766173007,0.0,-98.29858111993056,True,False,False,10.040324343036055,19.062013517706962,9.02168917467091,0.9104331965539669
2023,3,2023-03,March,710842.5199999997,24.719134676431942,0.0,99.00100755493503,7172.920000000006,46.67768175925216,0.0,0.998992445064971,718015.4399999997,21.958547082820218,0.0,-98.00201510987006,True,False,True,14.943391134398377,28.6030332242201,13.659642089821725,0.9818909298133505
2023,4,2023-04,April,821316.230000002,15.541235490527825,0.0,98.97463079564969,8508.76999999999,18.623517340218235,0.0,1.025369204350311,829825.000000002,3.0822818496904105,0.0,-97.94926159129938,True,False,False,21.48790609921523,39.722715419144365,18.234809319929138,1.1251553667388197
2023,5,2023-05,May,1105127.4599999937,34.55565829984767,0.0,98.73227813714911,14189.829999999967,66.76711205027266,0.0,1.2677218628508853,1119317.2899999938,32.21145375042499,0.0,-97.46455627429822,True,False,True,22.40204263708059,43.145589461479815,20.74354682439922,1.3173682271887257
2023,6,2023-06,June,1466753.6199999936,32.72257482408427,0.0,98.51701611860678,22079.15000000006,55.59841097462134,0.0,1.4829838813932172,1488832.7699999937,22.87583615053707,0.0,-97.03403223721355,True,False,True,14.104721800905995,37.26439748588191,23.159675684975916,1.624359822917968
2023,7,2023-07,July,1532341.1200000155,4.471609894511266,0.0,98.18822625771575,28274.830000000078,28.061225183034683,0.0,1.8117737422842433,1560615.9500000156,23.58961528852342,0.0,-96.37645251543151,True,False,True,5.756547432251958,31.289722819004133,25.53317538675217,2.0256244556780976
2023,8,2023-08,August,1275406.2900000024,-16.767469504441053,0.0,97.46604957628881,33158.3799999999,17.271721881262632,0.0,2.5339504237111834,1308564.6700000023,34.03919138570369,0.0,-94.93209915257762,True,False,True,-6.452090593902293,16.41461247180376,22.866703065706055,2.528247871704359
2023,9,2023-09,September,941254.479999999,-26.19963635274236,0.0,96.96830763184904,29428.11000000003,-11.249855994170655,0.0,3.031692368150958,970682.589999999,14.949780358571704,0.0,-93.93661526369809,True,False,False,-9.012853513381092,13.067290440459875,22.08014395384097,3.1020688876710834
2023,10,2023-10,October,691939.400000005,-26.487531830923583,0.0,96.21916105701781,27189.089999999986,-7.608439685729194,0.0,3.780838942982192,719128.490000005,18.879092145194388,0.0,-92.43832211403563,True,False,False,-8.843453546381069,13.475817079110906,22.319270625491974,3.8040713013273075
2023,11,2023-11,November,829765.1500000053,19.91876022669026,0.0,95.64791103877317,37755.26000000007,38.861800817901916,0.0,4.352088961226841,867520.4100000053,18.943040591211656,0.0,-91.29582207754633,True,False,True,-6.862449556866073,12.526840878572973,19.389290435439044,4.121601520731338
2023,12,2023-12,December,873897.1200000003,5.318609729511393,0.0,94.67821418943464,49121.05000000009,30.10385837628983,0.0,5.321785810565362,923018.1700000004,24.785248646778435,0.0,-89.35642837886928,True,False,True,-0.41672062490730993,20.45240650282085,20.86912712772816,4.484904571591465
