Year_Month,Date_Key,Beer_Revenue,Beer_Units,Beer_MoM_Growth,Beer_YoY_Growth,Beer_Acceleration,Seltzer_Revenue,Seltzer_Units,Seltzer_MoM_Growth,Seltzer_YoY_Growth,Seltzer_Acceleration,Total_Market_Revenue,Beer_Market_Share,Seltzer_Market_Share,Growth_Rate_Difference,Revenue_Ratio,Seltzer_Growth_Exceeds_Beer,Significant_Growth_Difference,Pivot_Point_Indicator,Beer_Growth_3M_Avg,Seltzer_Growth_3M_Avg,Growth_Difference_3M_Avg,Sustained_Pivot,Market_Phase
2023-01,2023-01-01,570519.8900000015,557329,0.0,0.0,,4407.749999999994,2529,0.0,0.0,,574927.6400000015,99.23333830323413,0.7666616967658716,0.0,0.007725848085681959,false,false,false,0.0,0.0,0.0,false,Beer_Dominance
2023-02,2023-02-01,569954.6599999999,555688,-0.09907279481555142,0.0,-0.09907279481555142,4890.260000000001,2787,10.946854971357455,0.0,10.946854971357455,574844.9199999999,99.14929055996528,0.8507094400347144,11.045927766173007,0.008580086001928647,true,true,true,-0.04953639740777571,5.4734274856787275,5.522963883086503,false,Beer_Dominance
2023-03,2023-03-01,710842.5199999997,692081,24.719134676431942,0.0,24.818207471247494,7172.920000000006,4101,46.67768175925216,0.0,35.730826787894706,718015.4399999997,99.00100755493503,0.998992445064971,21.958547082820218,0.01009073008181898,true,true,true,8.20668729387213,19.208178910203205,11.001491616331075,false,Beer_Dominance
2023-04,2023-04-01,821316.230000002,796367,15.541235490527825,0.0,-9.177899185904117,8508.76999999999,4907,18.623517340218235,0.0,-28.054164419033924,829825.000000002,98.97463079564969,1.025369204350311,3.0822818496904105,0.010359919467316467,true,false,false,13.387099124048072,25.416018023609283,12.02891889956121,false,Beer_Dominance
2023-05,2023-05-01,1105127.4599999937,1042626,34.55565829984767,0.0,19.014422809319846,14189.829999999967,7973,66.76711205027266,0.0,48.14359471005442,1119317.2899999938,98.73227813714911,1.2677218628508853,32.21145375042499,0.012839994040144517,true,true,true,24.93867615560248,44.02277038324769,19.08409422764521,true,Beer_Dominance
2023-06,2023-06-01,1466753.6199999936,1382799,32.72257482408427,0.0,-1.8330834757634022,22079.15000000006,12458,55.59841097462134,0.0,-11.16870107565132,1488832.7699999937,98.51701611860678,1.4829838813932172,22.87583615053707,0.0150530734671036,true,true,true,27.606489538153255,46.996346788370744,19.38985725021749,true,Beer_Dominance
2023-07,2023-07-01,1532341.1200000155,1441070,4.471609894511266,0.0,-28.250964929573,28274.830000000078,17307,28.061225183034683,0.0,-27.537185791586655,1560615.9500000156,98.18822625771575,1.8117737422842433,23.58961528852342,0.01845204676097173,true,true,true,23.916614339481068,50.142249402642896,26.22563506316183,true,Beer_Dominance
2023-08,2023-08-01,1275406.2900000024,1197952,-16.767469504441053,0.0,-21.23907939895232,33158.3799999999,20413,17.271721881262632,0.0,-10.78950330177205,1308564.6700000023,97.46604957628881,2.5339504237111834,34.03919138570369,0.025998287965162726,true,true,true,6.808905071384828,33.64378601297289,26.83488094158806,true,Beer_Dominance
2023-09,2023-09-01,941254.479999999,908451,-26.19963635274236,0.0,-9.432166848301307,29428.11000000003,18541,-11.249855994170655,0.0,-28.521577875433287,970682.589999999,96.96830763184904,3.031692368150958,14.949780358571704,0.031264775494083234,true,true,true,-12.831831987557381,11.361030356708886,24.192862344266267,true,Beer_Dominance
2023-10,2023-10-01,691939.400000005,667141,-26.487531830923583,0.0,-0.2878954781812233,27189.089999999986,17095,-7.608439685729194,0.0,3.6414163084414612,719128.490000005,96.21916105701781,3.780838942982192,18.879092145194388,0.03929403355264896,true,true,true,-23.151545896035667,-0.5288579328790725,22.622687963156594,true,Beer_Dominance
2023-11,2023-11-01,829765.1500000053,785323,19.91876022669026,0.0,46.40629205761384,37755.26000000007,23586,38.861800817901916,0.0,46.47024050363111,867520.4100000053,95.64791103877317,4.352088961226841,18.943040591211656,0.045501139689947005,true,true,true,-10.92280265232523,6.667835046000689,17.590637698325917,true,Beer_Dominance
2023-12,2023-12-01,873897.1200000003,825794,5.318609729511393,0.0,-14.600150497178866,49121.05000000009,30450,30.10385837628983,0.0,-8.757942441612087,923018.1700000004,94.67821418943464,5.321785810565362,24.785248646778435,0.05620919084846059,true,true,true,-0.41672062490730993,20.45240650282085,20.86912712772816,true,Early_Seltzer_Growth
