Year_Month,Product_Category,Market_Share_Revenue,Share_Velocity,Share_Acceleration
2023-01,BEER,99.23333830323413,,
2023-01,HARD SELTZER,0.7666616967658716,,
2023-02,BEER,99.14929055996528,-0.08404774326885445,
2023-02,HARD SELTZER,0.8507094400347144,0.08404774326884279,
2023-03,BEER,99.00100755493503,-0.14828300503025105,-0.0642352617613966
2023-03,HARD SELTZER,0.998992445064971,0.1482830050302566,0.06423526176141381
2023-04,BEER,98.97463079564969,-0.026376759285341222,0.12190624574490982
2023-04,HARD SELTZER,1.025369204350311,0.026376759285340112,-0.12190624574491649
2023-05,BEER,98.73227813714911,-0.24235265850057885,-0.21597589921523763
2023-05,HARD SELTZER,1.2677218628508853,0.2423526585005742,0.21597589921523408
2023-06,BEER,98.51701611860678,-0.21526201854233307,0.027090639958245788
2023-06,HARD SELTZER,1.4829838813932172,0.21526201854233196,-0.027090639958242235
2023-07,BEER,98.18822625771575,-0.32878986089102114,-0.11352784234868807
2023-07,HARD SELTZER,1.8117737422842433,0.328789860891026,0.11352784234869406
2023-08,BEER,97.46604957628881,-0.7221766814269444,-0.3933868205359232
2023-08,HARD SELTZER,2.5339504237111834,0.7221766814269401,0.3933868205359141
2023-09,BEER,96.96830763184904,-0.4977419444397668,0.22443473698717753
2023-09,HARD SELTZER,3.031692368150958,0.4977419444397748,-0.22443473698716532
2023-10,BEER,96.21916105701781,-0.7491465748312294,-0.25140463039146255
2023-10,HARD SELTZER,3.780838942982192,0.7491465748312338,0.251404630391459
2023-11,BEER,95.64791103877317,-0.5712500182446405,0.17789655658658887
2023-11,HARD SELTZER,4.352088961226841,0.5712500182446494,-0.17789655658658443
2023-12,BEER,94.67821418943464,-0.9696968493385327,-0.39844683109389223
2023-12,HARD SELTZER,5.321785810565362,0.9696968493385203,0.3984468310938709
