Year,Month,Year_Month,Store_Region,Product_Category,Regional_Revenue,Regional_Units,Regional_Transactions,Active_Brands,Active_Stores,Avg_Transaction_Value,Date_Key,Previous_Regional_Revenue,Regional_MoM_Growth,Regional_Total_Revenue,Regional_Category_Share
2023,1,2023-01,MIDWEST,BEER,163405.28999999881,174258,18121,29,304,9.017454334749672,2023-01-01,,0.0,164246.25999999882,99.48798225299012
2023,1,2023-01,MIDWEST,HARD SELTZER,840.9699999999999,551,548,10,230,1.5346167883211677,2023-01-01,,0.0,164246.25999999882,0.5120177470098899
2023,1,2023-01,NORTHEAST,BEER,121324.50000000033,103674,14454,29,247,8.393835616438379,2023-01-01,,0.0,122426.95000000033,99.0995038265676
2023,1,2023-01,NORTHEAST,HARD SELTZER,1102.4500000000003,564,557,10,197,1.979263913824058,2023-01-01,,0.0,122426.95000000033,0.9004961734323998
2023,1,2023-01,SOUTHEAST,BEER,161457.4899999994,166300,19074,29,325,8.464794484638745,2023-01-01,,0.0,162532.74999999942,99.33843486928018
2023,1,2023-01,SOUTHEAST,HARD SELTZER,1075.2600000000007,664,655,10,260,1.641618320610688,2023-01-01,,0.0,162532.74999999942,0.6615651307198115
2023,1,2023-01,SOUTHWEST,BEER,39331.93999999991,39437,4664,29,76,8.433091766723823,2023-01-01,,0.0,39594.57999999991,99.33667688860444
2023,1,2023-01,SOUTHWEST,HARD SELTZER,262.6400000000001,162,162,10,55,1.6212345679012352,2023-01-01,,0.0,39594.57999999991,0.6633231113955514
2023,1,2023-01,WEST,BEER,85000.67000000027,73660,12143,29,213,6.999972823849154,2023-01-01,,0.0,86127.10000000027,98.69213058375355
2023,1,2023-01,WEST,HARD SELTZER,1126.4300000000003,588,568,10,181,1.9831514084507047,2023-01-01,,0.0,86127.10000000027,1.3078694162464508
2023,2,2023-02,MIDWEST,BEER,165101.8700000003,175809,16014,29,304,10.309845759960053,2023-02-01,163405.28999999881,1.0382650402575606,165988.42000000027,99.46589647639276
2023,2,2023-02,MIDWEST,HARD SELTZER,886.55,572,566,10,229,1.5663427561837455,2023-02-01,840.9699999999999,5.419931745484387,165988.42000000027,0.5341035236072483
2023,2,2023-02,NORTHEAST,BEER,121396.51999999992,103724,12816,29,247,9.472262796504364,2023-02-01,121324.50000000033,0.05936146450187874,122605.08999999992,99.01425789092443
