Year,Month,Year_Month,Month_Name,Product_Category,Monthly_Revenue,Monthly_Units,Monthly_Transactions,Avg_Monthly_Transaction,Monthly_Active_Brands,Monthly_Active_Regions,Month_Start_Date,Month_End_Date,Previous_Month_Revenue,MoM_Growth_Rate,YoY_Base_Revenue,YoY_Growth_Rate,Total_Monthly_Revenue,Market_Share_Revenue
2023,1,2023-01,January,BEER,570519.8900000015,557329,68456,8.334110815706461,29,5,2023-01-01,2023-01-31,,0.0,,0.0,574927.6400000015,99.23333830323413
2023,1,2023-01,January,HARD SELTZER,4407.749999999994,2529,2490,1.7701807228915638,10,5,2023-01-01,2023-01-31,,0.0,,0.0,574927.6400000015,0.7666616967658716
2023,2,2023-02,February,BEER,569954.6599999999,555688,60323,9.44838055136515,29,5,2023-02-01,2023-02-28,570519.8900000015,-0.09907279481555142,,0.0,574844.9199999999,99.14929055996528
2023,2,2023-02,February,HARD SELTZER,4890.260000000001,2787,2706,1.8071914264597195,10,5,2023-02-01,2023-02-28,4407.749999999994,10.946854971357455,,0.0,574844.9199999999,0.8507094400347144
2023,3,2023-03,March,BEER,710842.5199999997,692081,66846,10.634032253238782,29,5,2023-03-01,2023-03-31,569954.6599999999,24.719134676431942,,0.0,718015.4399999997,99.00100755493503
2023,3,2023-03,March,HARD SELTZER,7172.920000000006,4101,3811,1.8821621621621638,10,5,2023-03-01,2023-03-31,4890.260000000001,46.67768175925216,,0.0,718015.4399999997,0.998992445064971
2023,4,2023-04,April,BEER,821316.230000002,796367,65446,12.549525257464198,29,5,2023-04-01,2023-04-30,710842.5199999997,15.541235490527825,,0.0,829825.000000002,98.97463079564969
2023,4,2023-04,April,HARD SELTZER,8508.76999999999,4907,4153,2.0488249458222945,10,5,2023-04-01,2023-04-30,7172.920000000006,18.623517340218235,,0.0,829825.000000002,1.025369204350311
2023,5,2023-05,May,BEER,1105127.4599999937,1042626,72842,15.171569424233185,29,5,2023-05-01,2023-05-31,821316.230000002,34.55565829984767,,0.0,1119317.2899999938,98.73227813714911
2023,5,2023-05,May,HARD SELTZER,14189.829999999967,7973,5540,2.561341155234651,10,5,2023-05-01,2023-05-31,8508.76999999999,66.76711205027266,,0.0,1119317.2899999938,1.2677218628508853
2023,6,2023-06,June,BEER,1466753.6199999936,1382799,76813,19.095122179839265,29,5,2023-06-01,2023-06-30,1105127.4599999937,32.72257482408427,,0.0,1488832.7699999937,98.51701611860678
2023,6,2023-06,June,HARD SELTZER,22079.15000000006,12458,6225,3.5468514056224993,10,5,2023-06-01,2023-06-30,14189.829999999967,55.59841097462134,,0.0,1488832.7699999937,1.4829838813932172
2023,7,2023-07,July,BEER,1532341.1200000155,1441070,79318,19.318958117955766,29,5,2023-07-01,2023-07-31,1466753.6199999936,4.471609894511266,,0.0,1560615.9500000156,98.18822625771575
2023,7,2023-07,July,HARD SELTZER,28274.830000000078,17307,7632,3.7047733228511635,10,5,2023-07-01,2023-07-31,22079.15000000006,28.061225183034683,,0.0,1560615.9500000156,1.8117737422842433
2023,8,2023-08,August,BEER,1275406.2900000024,1197952,72007,17.712254225283687,29,5,2023-08-01,2023-08-31,1532341.1200000155,-16.767469504441053,,0.0,1308564.6700000023,97.46604957628881
2023,8,2023-08,August,HARD SELTZER,33158.3799999999,20413,8750,3.789529142857132,10,5,2023-08-01,2023-08-31,28274.830000000078,17.271721881262632,,0.0,1308564.6700000023,2.5339504237111834
2023,9,2023-09,September,BEER,941254.479999999,908451,64696,14.548882156547531,29,5,2023-09-01,2023-09-30,1275406.2900000024,-26.19963635274236,,0.0,970682.589999999,96.96830763184904
2023,9,2023-09,September,HARD SELTZER,29428.11000000003,18541,9372,3.140003201024331,10,5,2023-09-01,2023-09-30,33158.3799999999,-11.249855994170655,,0.0,970682.589999999,3.031692368150958
2023,10,2023-10,October,BEER,691939.400000005,667141,59891,11.553311849860664,29,5,2023-10-01,2023-10-31,941254.479999999,-26.487531830923583,,0.0,719128.490000005,96.21916105701781
2023,10,2023-10,October,HARD SELTZER,27189.089999999986,17095,10222,2.6598601056544693,10,5,2023-10-01,2023-10-31,29428.11000000003,-7.608439685729194,,0.0,719128.490000005,3.780838942982192
2023,11,2023-11,November,BEER,829765.1500000053,785323,56653,14.646446790108296,29,5,2023-11-01,2023-11-30,691939.400000005,19.91876022669026,,0.0,867520.4100000053,95.64791103877317
2023,11,2023-11,November,HARD SELTZER,37755.26000000007,23586,11376,3.318851969057671,10,5,2023-11-01,2023-11-30,27189.089999999986,38.861800817901916,,0.0,867520.4100000053,4.352088961226841
2023,12,2023-12,December,BEER,873897.1200000003,825794,58966,14.820356137435137,29,5,2023-12-01,2023-12-31,829765.1500000053,5.318609729511393,,0.0,923018.1700000004,94.67821418943464
2023,12,2023-12,December,HARD SELTZER,49121.05000000009,30450,13315,3.6891513330829957,10,5,2023-12-01,2023-12-31,37755.26000000007,30.10385837628983,,0.0,923018.1700000004,5.321785810565362
