Year_Month,Product_Category,Monthly_Revenue,MoM_Growth_Rate,YoY_Growth_Rate
2023-01,BEER,570519.8900000015,0.0,0.0
2023-01,HARD SELTZER,4407.749999999994,0.0,0.0
2023-02,BEER,569954.6599999999,-0.09907279481555142,0.0
2023-02,HARD SELTZER,4890.260000000001,10.946854971357455,0.0
2023-03,BEER,710842.5199999997,24.719134676431942,0.0
2023-03,HARD SELTZER,7172.920000000006,46.67768175925216,0.0
2023-04,BEER,821316.230000002,15.541235490527825,0.0
2023-04,HARD SELTZER,8508.76999999999,18.623517340218235,0.0
2023-05,BEER,1105127.4599999937,34.55565829984767,0.0
2023-05,HARD SELTZER,14189.829999999967,66.76711205027266,0.0
2023-06,BEER,1466753.6199999936,32.72257482408427,0.0
2023-06,HARD SELTZER,22079.15000000006,55.59841097462134,0.0
2023-07,BEER,1532341.1200000155,4.471609894511266,0.0
2023-07,HARD SELTZER,28274.830000000078,28.061225183034683,0.0
2023-08,BEER,1275406.2900000024,-16.767469504441053,0.0
2023-08,HARD SELTZER,33158.3799999999,17.271721881262632,0.0
2023-09,BEER,941254.479999999,-26.19963635274236,0.0
2023-09,HARD SELTZER,29428.11000000003,-11.249855994170655,0.0
2023-10,BEER,691939.400000005,-26.487531830923583,0.0
2023-10,HARD SELTZER,27189.089999999986,-7.608439685729194,0.0
2023-11,BEER,829765.1500000053,19.91876022669026,0.0
2023-11,HARD SELTZER,37755.26000000007,38.861800817901916,0.0
2023-12,BEER,873897.1200000003,5.318609729511393,0.0
2023-12,HARD SELTZER,49121.05000000009,30.10385837628983,0.0
