Date,Date_String,Product_Category,Daily_Revenue,Daily_Units,Daily_Transactions,Avg_Transaction_Value,Active_Brands,Active_Regions,Total_Daily_Revenue,Market_Share_Revenue,Market_Share_Units
2023-01-01,2023-01-01,BEER,26792.08000000001,25976,2447,10.948949734368618,29,5,26885.96000000001,99.65082146964438,99.80404964075767
2023-01-01,2023-01-01,HARD SELTZER,93.88,51,51,1.84078431372549,10,5,26885.96000000001,0.3491785303556204,0.1959503592423253
2023-01-02,2023-01-02,BEER,12005.189999999997,11673,2304,5.2105859374999985,29,5,12132.209999999997,98.95303493757525,99.34468085106383
2023-01-02,2023-01-02,HARD SELTZER,127.02000000000004,77,77,1.6496103896103902,10,5,12132.209999999997,1.0469650624247362,0.6553191489361702
2023-01-03,2023-01-03,BEER,15717.899999999996,15345,2322,6.7691214470284224,29,5,15847.099999999997,99.18470887417887,99.52007263765485
2023-01-03,2023-01-03,HARD SELTZER,129.20000000000005,74,71,1.8197183098591556,10,5,15847.099999999997,0.8152911258211286,0.4799273623451586
2023-01-04,2023-01-04,BEER,15737.62,15577,2284,6.8903765323993,29,5,15871.83,99.15441382625696,99.51447006963522
2023-01-04,2023-01-04,HARD SELTZER,134.20999999999998,76,76,1.7659210526315787,10,5,15871.83,0.8455861737430401,0.4855299303647863
2023-01-05,2023-01-05,BEER,16371.119999999983,15971,2322,7.050439276485781,29,5,16508.04999999998,99.17052589494217,99.52639122577429
2023-01-05,2023-01-05,HARD SELTZER,136.92999999999998,76,76,1.801710526315789,10,5,16508.04999999998,0.8294741050578363,0.47360877422571196
2023-01-06,2023-01-06,BEER,23269.410000000014,22810,2422,9.607518579686216,29,5,23411.910000000014,99.3913354356821,99.64179626070244
2023-01-06,2023-01-06,HARD SELTZER,142.49999999999997,82,82,1.73780487804878,10,5,23411.910000000014,0.6086645643179044,0.3582037392975712
2023-01-07,2023-01-07,BEER,28192.54000000003,27421,2444,11.535409165302795,29,5,28331.63000000003,99.50906460376618,99.71635332193898
2023-01-07,2023-01-07,HARD SELTZER,139.09,78,74,1.8795945945945947,10,5,28331.63000000003,0.49093539623382015,0.2836466780610204
2023-01-08,2023-01-08,BEER,24406.039999999924,23886,2226,10.964079065588466,29,5,24540.919999999925,99.45038735304136,99.68283114931977
2023-01-08,2023-01-08,HARD SELTZER,134.88000000000005,76,76,1.7747368421052638,10,5,24540.919999999925,0.5496126469586327,0.3171688506802437
2023-01-09,2023-01-09,BEER,11594.679999999971,11377,2150,5.392874418604638,29,5,11738.57999999997,98.77412770539537,99.30173692938816
2023-01-09,2023-01-09,HARD SELTZER,143.9,80,80,1.79875,10,5,11738.57999999997,1.2258722946046317,0.698263070611853
2023-01-10,2023-01-10,BEER,14402.790000000035,14182,2116,6.806611531190943,29,5,14531.760000000035,99.11249566466829,99.45999018163967
2023-01-10,2023-01-10,HARD SELTZER,128.96999999999997,77,77,1.6749350649350645,10,5,14531.760000000035,0.8875043353317125,0.5400098183603338
2023-01-11,2023-01-11,BEER,14804.100000000015,14509,2132,6.943761726078806,29,5,14940.450000000015,99.08737688623836,99.47891669523483
2023-01-11,2023-01-11,HARD SELTZER,136.35,76,76,1.7940789473684209,10,5,14940.450000000015,0.9126231137616326,0.5210833047651696
2023-01-12,2023-01-12,BEER,14185.509999999964,13970,2106,6.73575973409305,29,5,14318.659999999963,99.07009454795352,99.45184025058731
2023-01-12,2023-01-12,HARD SELTZER,133.14999999999998,77,77,1.729220779220779,10,5,14318.659999999963,0.9299054520464926,0.548159749412686
2023-01-13,2023-01-13,BEER,20397.099999999937,20030,2207,9.242002718622535,29,5,20549.879999999936,99.25654067079711,99.55763208907004
2023-01-13,2023-01-13,HARD SELTZER,152.77999999999997,89,88,1.7361363636363634,10,5,20549.879999999936,0.7434593292028978,0.44236791092996675
2023-01-14,2023-01-14,BEER,25128.319999999985,24684,2241,11.212994199018288,29,5,25266.849999999984,99.45173221038634,99.69305331179321
2023-01-14,2023-01-14,HARD SELTZER,138.53000000000006,76,74,1.8720270270270278,10,5,25266.849999999984,0.5482677896136643,0.3069466882067851
2023-01-15,2023-01-15,BEER,23466.319999999985,22695,2231,10.51829672792469,29,5,23630.659999999985,99.30454756659357,99.59626102602361
2023-01-15,2023-01-15,HARD SELTZER,164.33999999999995,92,89,1.8465168539325836,10,5,23630.659999999985,0.6954524334064307,0.40373897397639
2023-01-16,2023-01-16,BEER,11634.890000000005,11387,2129,5.464955378111791,29,5,11769.980000000005,98.85224953653278,99.33699729564687
2023-01-16,2023-01-16,HARD SELTZER,135.08999999999997,76,76,1.7774999999999996,10,5,11769.980000000005,1.1477504634672269,0.6630027043531361
2023-01-17,2023-01-17,BEER,14654.320000000005,14334,2113,6.935314718409846,29,5,14806.450000000004,98.97254237173665,99.369150779896
2023-01-17,2023-01-17,HARD SELTZER,152.13000000000002,91,91,1.671758241758242,10,5,14806.450000000004,1.027457628263358,0.6308492201039861
2023-01-18,2023-01-18,BEER,14336.22000000004,14207,2134,6.71800374882851,29,5,14457.81000000004,99.15900125952686,99.52364273204904
2023-01-18,2023-01-18,HARD SELTZER,121.59,68,67,1.8147761194029852,10,5,14457.81000000004,0.8409987404731398,0.4763572679509632
2023-01-19,2023-01-19,BEER,14393.83,14144,2093,6.877128523650263,29,5,14527.3,99.08124703145114,99.42359060874455
2023-01-19,2023-01-19,HARD SELTZER,133.47,82,82,1.6276829268292683,10,5,14527.3,0.91875296854887,0.5764093912554478
2023-01-20,2023-01-20,BEER,21680.35999999997,20955,2204,9.836823956442819,29,5,21827.33999999997,99.32662431610999,99.60547580568495
2023-01-20,2023-01-20,HARD SELTZER,146.98000000000002,83,82,1.7924390243902442,10,5,21827.33999999997,0.6733756838900214,0.3945241943150489
2023-01-21,2023-01-21,BEER,25053.229999999978,24534,2241,11.179486836233814,29,5,25188.939999999977,99.46123179458921,99.67498171772162
2023-01-21,2023-01-21,HARD SELTZER,135.70999999999998,80,76,1.7856578947368418,10,5,25188.939999999977,0.5387682054107878,0.32501828227837815
2023-01-22,2023-01-22,BEER,26614.059999999954,25991,2230,11.934556053811638,29,5,26760.929999999953,99.451177518868,99.67020746251485
2023-01-22,2023-01-22,HARD SELTZER,146.86999999999998,86,84,1.7484523809523806,10,5,26760.929999999953,0.5488224811320094,0.3297925374851402
2023-01-23,2023-01-23,BEER,12569.470000000027,12171,2125,5.915044705882366,29,5,12697.320000000027,98.99309460579083,99.37132593076421
2023-01-23,2023-01-23,HARD SELTZER,127.85000000000001,77,77,1.6603896103896105,10,5,12697.320000000027,1.0069053942091697,0.6286740692357936
2023-01-24,2023-01-24,BEER,14169.350000000015,13788,2114,6.7026253547776795,29,5,14320.110000000015,98.94721479094784,99.37297297297297
2023-01-24,2023-01-24,HARD SELTZER,150.76000000000005,87,87,1.7328735632183914,10,5,14320.110000000015,1.0527852090521643,0.6270270270270271
2023-01-25,2023-01-25,BEER,14775.410000000016,14404,2132,6.930304878048788,29,5,14927.060000000016,98.98405982155897,99.42020982882386
2023-01-25,2023-01-25,HARD SELTZER,151.65000000000006,84,84,1.8053571428571435,10,5,14927.060000000016,1.015940178441032,0.5797901711761457
2023-01-26,2023-01-26,BEER,14252.270000000006,13781,2111,6.751430601610614,29,5,14409.520000000006,98.90870757665765,99.3654913836614
2023-01-26,2023-01-26,HARD SELTZER,157.24999999999994,88,87,1.8074712643678155,10,5,14409.520000000006,1.0912924233423449,0.6345086163385969
2023-01-27,2023-01-27,BEER,22171.249999999985,21708,2182,10.160976168652606,29,5,22354.269999999986,99.18127498683697,99.50951180380471
2023-01-27,2023-01-27,HARD SELTZER,183.02000000000004,107,104,1.7598076923076926,10,5,22354.269999999986,0.818725013163034,0.49048819619527845
2023-01-28,2023-01-28,BEER,24727.88999999997,24138,2215,11.163832957110596,29,5,24890.08999999997,99.34833502008229,99.61208319577418
2023-01-28,2023-01-28,HARD SELTZER,162.20000000000005,94,91,1.782417582417583,10,5,24890.08999999997,0.6516649799177112,0.3879168042258171
2023-01-29,2023-01-29,BEER,26126.88999999997,25534,2257,11.575937084625597,29,5,26311.56999999997,99.29810345790844,99.59823692319694
2023-01-29,2023-01-29,HARD SELTZER,184.68,103,97,1.903917525773196,10,5,26311.56999999997,0.7018965420915598,0.40176307680305806
2023-01-30,2023-01-30,BEER,12224.129999999994,11892,2129,5.7417238139971785,29,5,12341.849999999993,99.04617217029862,99.41481357632503
2023-01-30,2023-01-30,HARD SELTZER,117.72000000000003,70,70,1.6817142857142862,10,5,12341.849999999993,0.9538278297013826,0.5851864236749708
2023-01-31,2023-01-31,BEER,14665.59999999999,14255,2093,7.006975633062584,29,5,14830.649999999989,98.88710204879759,99.33105706919379
2023-01-31,2023-01-31,HARD SELTZER,165.04999999999995,96,91,1.8137362637362633,10,5,14830.649999999989,1.112897951202409,0.6689429308062156
