Year,Month,Year_Month,Product_Category,Monthly_Revenue,Monthly_Units,Monthly_Transactions,Unique_Products,Regional_Presence,Avg_Transaction_Value,Avg_TDP,Revenue_Per_Transaction,Date_Key,Previous_Month_Revenue,Previous_Month_Units,MoM_Revenue_Growth,MoM_Units_Growth,YoY_Revenue_Base,YoY_Units_Base,YoY_Revenue_Growth,YoY_Units_Growth,Revenue_Growth_Acceleration,Growth_Trend_Direction
2023,1,2023-01,BEER,570519.8900000015,557329,68456,74,5,8.334110815706461,68.10356082739263,8.334110815706461,2023-01-01,,,0.0,0.0,,,0.0,0.0,,Stable
2023,2,2023-02,BEER,569954.6599999999,555688,60323,74,5,9.44838055136515,68.08027584834944,9.44838055136515,2023-02-01,570519.8900000015,557329,-0.09907279481555142,-0.29444008834996926,,,0.0,0.0,-0.09907279481555142,Stable
2023,3,2023-03,BEER,710842.5199999997,692081,66846,74,5,10.634032253238782,68.11780390748915,10.634032253238782,2023-03-01,569954.6599999999,555688,24.719134676431942,24.544888498581937,,,0.0,0.0,24.818207471247494,Accelerating
2023,4,2023-04,BEER,821316.230000002,796367,65446,74,5,12.549525257464198,68.21881184487974,12.549525257464198,2023-04-01,710842.5199999997,692081,15.541235490527825,15.068467419276068,,,0.0,0.0,-9.177899185904117,Decelerating
2023,5,2023-05,BEER,1105127.4599999937,1042626,72842,74,5,15.171569424233185,68.46835726641157,15.171569424233185,2023-05-01,821316.230000002,796367,34.55565829984767,30.922803179940907,,,0.0,0.0,19.014422809319846,Accelerating
2023,6,2023-06,BEER,1466753.6199999936,1382799,76813,74,5,19.095122179839265,68.76304987437068,19.095122179839265,2023-06-01,1105127.4599999937,1042626,32.72257482408427,32.626560243078536,,,0.0,0.0,-1.8330834757634022,Stable
2023,7,2023-07,BEER,1532341.1200000155,1441070,79318,74,5,19.318958117955766,68.82599195642848,19.318958117955766,2023-07-01,1466753.6199999936,1382799,4.471609894511266,4.213989162560864,,,0.0,0.0,-28.250964929573,Decelerating
2023,8,2023-08,BEER,1275406.2900000024,1197952,72007,74,5,17.712254225283687,68.54253655894573,17.712254225283687,2023-08-01,1532341.1200000155,1441070,-16.767469504441053,-16.87065860784001,,,0.0,0.0,-21.23907939895232,Decelerating
2023,9,2023-09,BEER,941254.479999999,908451,64696,74,5,14.548882156547531,68.389220044516,14.548882156547531,2023-09-01,1275406.2900000024,1197952,-26.19963635274236,-24.166327198418635,,,0.0,0.0,-9.432166848301307,Decelerating
2023,10,2023-10,BEER,691939.400000005,667141,59891,74,5,11.553311849860664,68.1323679684759,11.553311849860664,2023-10-01,941254.479999999,908451,-26.487531830923583,-26.562797553197697,,,0.0,0.0,-0.2878954781812233,Stable
2023,11,2023-11,BEER,829765.1500000053,785323,56653,74,5,14.646446790108296,68.1266282456346,14.646446790108296,2023-11-01,691939.400000005,667141,19.91876022669026,17.71469599380041,,,0.0,0.0,46.40629205761384,Accelerating
2023,12,2023-12,BEER,873897.1200000003,825794,58966,74,5,14.820356137435137,68.14407115965159,14.820356137435137,2023-12-01,829765.1500000053,785323,5.318609729511393,5.153420949087191,,,0.0,0.0,-14.600150497178866,Decelerating
