timestamp,cpu_usage_percent,memory_usage_mb,pod_restart_count,source_ip,is_approved_source,http_method,endpoint,user_agent,sql_execution_time_ms,stack_trace_depth,db_connection_pool_active,response_time_ms,status_code,is_anomaly,hour,day_of_week,minute,is_approved_source_num,method_DELETE,method_GET,method_POST,method_PUT,endpoint_category,endpoint_auth,endpoint_order,endpoint_other,endpoint_payment,endpoint_report,endpoint_user,anomaly_score,predicted_anomaly
2026-01-08 06:26:56.821918,30.912,1208.35,0,198.51.100.10,True,GET,/api/v1/payments,Java/11.0.16,163.95,8,19,6.84,201,True,6,3,26,1,0,1,0,0,payment,0,0,0,1,0,0,0.34949174820153783,False
2026-01-08 06:26:57.071918,43.452,1637.65,0,198.51.100.10,True,GET,/api/v1/notifications,curl/7.68.0,6.14,9,8,63.66,200,True,6,3,26,1,0,1,0,0,other,0,0,1,0,0,0,0.15414950010431497,False
2026-01-08 06:26:57.321918,57.168,1310.4,0,10.0.1.101,True,POST,/api/v1/reports,PostmanRuntime/7.29.2,5.11,11,18,47.51,200,True,6,3,26,1,0,0,1,0,report,0,0,0,0,1,0,0.29592642372270644,False
2026-01-08 06:26:57.571918,34.524,1532.7,0,10.0.1.101,True,GET,/api/v1/reports,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,9.79,10,7,145.81,200,True,6,3,26,1,0,1,0,0,report,0,0,0,0,1,0,0.32726347162788316,False
2026-01-08 06:26:57.821918,66.012,1372.9499999999998,0,10.0.1.101,True,GET,/api/v1/auth,Java/11.0.16,12.46,10,13,41.84,200,True,6,3,26,1,0,1,0,0,auth,1,0,0,0,0,0,0.20126720078744476,False
2026-01-08 06:26:58.071918,22.5,1107.75,0,203.0.113.5,True,GET,/api/v1/auth,Apache-HttpClient/4.5.13,5.91,8,6,16.68,200,True,6,3,26,1,0,1,0,0,auth,1,0,0,0,0,0,0.30788058291893783,False
2026-01-08 06:26:58.321918,53.4,1248.925,0,10.0.1.101,True,GET,/api/v1/orders,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,41.68,10,21,68.4,200,True,6,3,26,1,0,1,0,0,order,0,1,0,0,0,0,0.15242869226377637,False
2026-01-08 06:26:58.571918,46.104,1295.5,0,97.208.93.158,False,GET,/api/v1/products,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,8.66,9,23,225.55,200,True,6,3,26,0,0,1,0,0,other,0,0,1,0,0,0,0.29913263396952045,False
2026-01-08 06:26:58.821918,54.636,1538.375,0,147.106.230.237,False,GET,/api/v1/inventory,Java/11.0.16,6.36,6,5,19.96,200,True,6,3,26,0,0,1,0,0,other,0,0,1,0,0,0,0.36199815980238154,False
2026-01-08 06:26:59.071918,67.476,1504.95,0,163.168.203.112,False,GET,/api/v1/reports,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,22.01,12,13,48.13,500,True,6,3,26,0,0,1,0,0,report,0,0,0,0,1,0,0.38151437498635554,False
2026-01-08 06:26:59.321918,78.05999999999999,1789.1,0,10.0.1.100,True,POST,/api/v1/auth,Java/11.0.16,14.46,5,19,22.19,200,True,6,3,26,1,0,0,1,0,auth,1,0,0,0,0,0,0.43451383977594926,False
2026-01-08 06:26:59.571918,41.364,1232.8,0,172.16.0.11,True,PUT,/api/v1/products,Java/11.0.16,13.09,8,19,36.93,200,True,6,3,26,1,0,0,0,1,other,0,0,1,0,0,0,0.3038910244309735,False
2026-01-08 06:26:59.821918,24.468,1284.725,0,172.16.0.11,True,GET,/api/v1/reports,PostmanRuntime/7.29.2,26.003022590251295,13,24,131.8121733666308,200,True,6,3,26,1,0,1,0,0,report,0,0,0,0,1,0,0.3635980836351785,False
2026-01-08 06:27:00.071918,42.036,1311.1750000000002,0,10.0.1.100,True,GET,/api/v1/products,Apache-HttpClient/4.5.13,112.09,11,20,80.66,200,True,6,3,27,1,0,1,0,0,other,0,0,1,0,0,0,0.22285660590881132,False
