Store_State,Store_Region,Product_Category,State_Revenue,State_Units,State_Stores,State_Cities,Avg_State_Transaction,State_Total_Revenue,State_Category_Share
AK,WEST,BEER,163577.12000000002,140947,13,1,14.086903203582503,170459.62000000002,95.96238686910131
AK,WEST,HARD SELTZER,6882.499999999998,3999,13,1,4.331340465701698,170459.62000000002,4.0376131308986825
AL,SOUTHEAST,BEER,79071.69000000002,75535,12,1,12.366545198623712,80879.96000000002,97.76425458172827
AL,SOUTHEAST,HARD SELTZER,1808.2699999999995,1130,12,1,2.6908779761904755,80879.96000000002,2.235745418271719
AR,SOUTHEAST,BEER,116263.00000000004,113102,16,4,12.693853040724974,118612.73000000004,98.01899003589244
AR,SOUTHEAST,HARD SELTZER,2349.7300000000005,1507,16,4,2.55128121606949,118612.73000000004,1.981009964107562
AZ,WEST,BEER,195069.76,167077,27,2,11.67103984683499,204354.36000000002,95.45661761266068
AZ,WEST,HARD SELTZER,9284.600000000002,5307,27,2,3.9341525423728823,204354.36000000002,4.543382387339326
CA,WEST,BEER,361695.2799999996,310901,42,8,12.651554094232035,378216.3299999996,95.63185175002887
CA,WEST,HARD SELTZER,16521.050000000003,9449,42,8,4.183603443909852,378216.3299999996,4.368148249971126
CO,WEST,BEER,56167.74999999999,45952,14,1,8.81339243684293,58779.38999999999,95.55687801455578
CO,WEST,HARD SELTZER,2611.640000000001,1416,14,1,3.2044662576687126,58779.38999999999,4.44312198544422
CT,NORTHEAST,BEER,69650.34,54989,9,1,13.226422331940752,72018.51,96.7117203618903
CT,NORTHEAST,HARD SELTZER,2368.17,1247,9,1,3.838200972447326,72018.51,3.2882796381097026
DC,SOUTHEAST,BEER,74498.89000000001,71636,10,4,12.771968112463572,76321.50000000001,97.61193110722405
DC,SOUTHEAST,HARD SELTZER,1822.6100000000001,1161,10,4,2.6452975326560235,76321.50000000001,2.388068892775954
DE,SOUTHEAST,BEER,109347.32,113109,16,5,12.613602491636868,111480.09000000001,98.08686017386601
DE,SOUTHEAST,HARD SELTZER,2132.7700000000004,1423,16,5,2.420851305334847,111480.09000000001,1.9131398261339763
FL,SOUTHEAST,BEER,537939.7500000001,525825,51,9,14.406142042259182,547805.7000000001,98.19900559632731
FL,SOUTHEAST,HARD SELTZER,9865.950000000004,6469,51,9,2.536233933161955,547805.7000000001,1.8009944036726895
GA,SOUTHEAST,BEER,440808.20999999985,460513,41,6,14.86755742183547,449121.50999999983,98.14898645135032
GA,SOUTHEAST,HARD SELTZER,8313.300000000001,5772,41,6,2.7043916720884846,449121.50999999983,1.851013548649675
HI,WEST,BEER,79687.40999999997,72295,11,1,11.602709668025623,83374.47999999998,95.57769955506768
HI,WEST,HARD SELTZER,3687.0699999999997,2202,11,1,3.7318522267206475,83374.47999999998,4.422300444932311
IA,MIDWEST,BEER,189335.52999999997,203231,18,1,15.464798660459035,191399.23999999996,98.92177732785147
IA,MIDWEST,HARD SELTZER,2063.71,1489,18,1,2.049364448857994,191399.23999999996,1.0782226721485417
ID,WEST,BEER,48508.51999999999,38556,11,1,9.101035647279549,50794.79999999999,95.49898808539456
ID,WEST,HARD SELTZER,2286.28,1198,11,1,3.2475568181818186,50794.79999999999,4.501011914605433
IL,MIDWEST,BEER,344450.38999999996,361416,38,6,14.016862944575566,348505.16,98.83652511773427
IL,MIDWEST,HARD SELTZER,4054.7699999999986,2820,38,6,1.9993934911242597,348505.16,1.1634748822657315
IN,MIDWEST,BEER,290342.41,299241,23,1,16.51831427433578,293595.32999999996,98.89203959749634
IN,MIDWEST,HARD SELTZER,3252.920000000001,2214,23,1,2.246491712707183,293595.32999999996,1.107960402503678
KS,MIDWEST,BEER,124131.96999999996,133802,13,1,15.040830001211676,125626.14999999995,98.81061387298745
KS,MIDWEST,HARD SELTZER,1494.1799999999998,1095,13,1,2.1781049562682213,125626.14999999995,1.189386127012569
KY,SOUTHEAST,BEER,191117.59000000003,186012,14,1,16.076513290713326,194547.43000000002,98.23701603254281
KY,SOUTHEAST,HARD SELTZER,3429.840000000001,2251,14,1,2.8159605911330057,194547.43000000002,1.7629839674571905
LA,SOUTHEAST,BEER,58989.32000000003,56181,11,1,10.60958992805756,60324.38000000003,97.78686494581461
LA,SOUTHEAST,HARD SELTZER,1335.06,841,11,1,2.367127659574468,60324.38000000003,2.213135054185388
