Year,Month,Year_Month,Beer_Share,Beer_Share_Change,Beer_Revenue,Seltzer_Share,Seltzer_Share_Change,Seltzer_Revenue,Market_Concentration,Competitive_Intensity,Seltzer_Momentum,Market_Leadership
2023,1,2023-01,99.17481761144558,0.0,570519.8899999999,0.8251823885544001,0.0,4407.750000000001,99.99999999999997,0.0,Stable,Beer_Leads
2023,2,2023-02,99.07533123712032,-0.09948637432525231,569954.6600000001,0.924668762879663,0.09948637432526297,4890.26,99.99999999999999,0.19897274865051529,Gaining,Beer_Leads
2023,3,2023-03,98.94146875165099,-0.13386248546933643,710842.5200000004,1.0585312483489997,0.13386248546933666,7172.919999999999,99.99999999999999,0.2677249709386731,Gaining,Beer_Leads
2023,4,2023-04,98.92040147846706,-0.02106727318393098,821316.2299999996,1.0795985215329194,0.021067273183919655,8508.770000000002,99.99999999999997,0.042134546367850634,Gaining,Beer_Leads
2023,5,2023-05,98.68959851218374,-0.23080296628332064,1105127.4599999997,1.3104014878162797,0.2308029662833604,14189.829999999998,100.00000000000001,0.46160593256668103,Gaining,Beer_Leads
2023,6,2023-06,98.49563149714005,-0.19396701504368252,1466753.62,1.5043685028599436,0.19396701504366387,22079.150000000005,100.0,0.3879340300873464,Gaining,Beer_Leads
2023,7,2023-07,98.16787877412322,-0.3277527230168289,1532341.1199999994,1.8321212258767796,0.327752723016836,28274.829999999998,100.0,0.6555054460336649,Gaining,Beer_Leads
2023,8,2023-08,97.43226766135771,-0.7356111127655112,1275406.2900000003,2.567732338642292,0.7356111127655123,33158.380000000005,100.0,1.4712222255310234,Gaining,Beer_Leads
2023,9,2023-09,96.91355537465917,-0.5187122866985447,941254.4799999997,3.0864446253408206,0.5187122866985288,29428.109999999993,99.99999999999999,1.0374245733970735,Gaining,Beer_Leads
2023,10,2023-10,96.1010026588135,-0.8125527158456691,691939.3999999999,3.898997341186526,0.8125527158457055,27189.089999999997,100.00000000000003,1.6251054316913747,Gaining,Beer_Leads
2023,11,2023-11,95.58788223885949,-0.5131204199540065,829765.1499999999,4.412117761140503,0.5131204199539767,37755.259999999995,100.0,1.0262408399079832,Gaining,Beer_Leads
2023,12,2023-12,94.64771469578494,-0.9401675430745513,873897.1200000002,5.352285304215064,0.9401675430745611,49121.049999999996,100.0,1.8803350861491124,Gaining,Beer_Leads
